,Sequence,Context
87982,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC']",Illiquid Security
489194,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.T_PK_OVERRIDE_SEC', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC']",Illiquid Security
62,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_BPS_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_PREMASTER_CA', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.CLONE_T_SCD_PRC_OUT_STORE_ANLALYSIS_IPP2', 'WORKDAY_DB.DBO.T_MASTER_CA_IDENTIFIER', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_PRC', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_BCKUPCHG0049304', 'WORKDAY_DB.DBO.T_PREMASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC_EVALUATED', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.T_BPS_FULL_SECURITY_IN_STORE', 'WORKDAY_DB.DBO.T_EXCEPTION_CA', 'WORKDAY_DB.DBO.T_MASTER_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_CA', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC_ANALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_MASTER_CA_STORE', 'WORKDAY_DB.DBO.T_MANUAL_PTY', 'WORKDAY_DB.DBO.TMP_T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_PRC_STORE', 'WORKDAY_DB.DBO.T_MASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_BPS_PRC_IPP21263', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_STORE', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_APPROVE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT', 'WORKDAY_DB.DBO.T_ITM_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_PRE_IPP']",Illiquid Security
468005,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.T_PK_OVERRIDE_SEC', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_MASTER_SEC_BCK23092022', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_APPROVE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT']",Stale Price
423499,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_BPS_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.T_PK_OVERRIDE_SEC', 'WORKDAY_DB.DBO.TMP_T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_APPROVE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT']",Stale Price
226501,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_BPS_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_PREMASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.TMP_T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_PRC_STORE', 'WORKDAY_DB.DBO.T_MASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_MASTER_SEC_BCK23092022', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_STAGE_STORE', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_STORE', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_APPROVE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_PRE_IPP']",Stale Price
488738,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.T_PK_OVERRIDE_SEC', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC']",Stale Price
54226,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.TMP_T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_APPROVE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT']",Illiquid Security
475022,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_MASTER_SEC_FI', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC']",Zero Price Value
296531,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_MANUAL_RTF', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_BPS_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_MANUAL_APPROVE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_PRC', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_BCKUPCHG0049304', 'WORKDAY_DB.DBO.T_PREMASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC', 'WORKDAY_DB.DBO.T_PREMASTER_SEC', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC_ANALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_PREMASTER_SEC_BCK23092022', 'WORKDAY_DB.DBO.T_PK_OVERRIDE_SEC', 'WORKDAY_DB.DBO.TMP_T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_PRC_STORE', 'WORKDAY_DB.DBO.T_MASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_SEC', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_STORE', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_APPROVE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT', 'WORKDAY_DB.DBO.T_ITM_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_PRE_IPP']",Stale Price
434282,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.T_MASTER_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_PK_OVERRIDE_SEC', 'WORKDAY_DB.DBO.TMP_T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_MASTER_SEC_BCK23092022', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_SEC', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_APPROVE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT']",Zero Price Value
1398,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_BPS_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_PREMASTER_CA', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.CLONE_T_SCD_PRC_OUT_STORE_ANLALYSIS_IPP2', 'WORKDAY_DB.DBO.T_MASTER_CA_IDENTIFIER', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_BCKUPCHG0049304', 'WORKDAY_DB.DBO.T_PREMASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.T_BPS_FULL_SECURITY_IN_STORE', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_CA', 'WORKDAY_DB.DBO.T_MASTER_CA_STORE', 'WORKDAY_DB.DBO.T_PK_OVERRIDE_SEC', 'WORKDAY_DB.DBO.T_MASTER_PRC_STORE', 'WORKDAY_DB.DBO.T_MASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_MASTER_SEC_BCK23092022', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_SEC', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_STORE', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT', 'WORKDAY_DB.DBO.T_ITM_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_PRE_IPP']",Illiquid Security
434282,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.T_MASTER_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_PK_OVERRIDE_SEC', 'WORKDAY_DB.DBO.TMP_T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_MASTER_SEC_BCK23092022', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_SEC', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_APPROVE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT']",Zero Price Value
479148,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_MASTER_SEC_FI', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC']",Zero Price Value
285996,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_BPS_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.BCK_T_MASTER_SEC_20221201', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC_ANALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_PK_OVERRIDE_SEC', 'WORKDAY_DB.DBO.TMP_T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_PRC_STORE', 'WORKDAY_DB.DBO.T_MASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_STORE', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_APPROVE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_PRE_IPP']",Stale Price
398612,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_MASTER_SEC_DERIV_FI_STORE', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_BPS_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.CLONE_T_SCD_PRC_OUT_STORE_ANLALYSIS_IPP2', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.TMP_T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_APPROVE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT']",Illiquid Security
465005,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_MASTER_SEC_DERIV_FI_STORE', 'WORKDAY_DB.DBO.T_MASTER_SEC_DERIV', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_PREMASTER_SEC_DERIV', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_APPROVE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT']",Zero Price Value
1396,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_BPS_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_PREMASTER_CA', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.CLONE_T_SCD_PRC_OUT_STORE_ANLALYSIS_IPP2', 'WORKDAY_DB.DBO.T_MASTER_CA_IDENTIFIER', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_BCKUPCHG0049304', 'WORKDAY_DB.DBO.T_PREMASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC', 'WORKDAY_DB.DBO.T_BPS_FULL_SECURITY_IN_STORE', 'WORKDAY_DB.DBO.T_EXCEPTION_CA', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_CA', 'WORKDAY_DB.DBO.T_MASTER_CA_STORE', 'WORKDAY_DB.DBO.T_PK_OVERRIDE_SEC', 'WORKDAY_DB.DBO.T_MASTER_PRC_STORE', 'WORKDAY_DB.DBO.T_MASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_BPS_PRC_EVALUATED', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.T_BPS_PRC_IPP20899', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_STORE', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT', 'WORKDAY_DB.DBO.T_ITM_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_PRE_IPP']",Illiquid Security
180390,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_BPS_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.CLONE_T_SCD_PRC_OUT_STORE_ANLALYSIS_IPP2', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_BCKUPCHG0049304', 'WORKDAY_DB.DBO.T_PREMASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.TMP_T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_SEC', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_APPROVE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_PRE_IPP']",Illiquid Security
383147,"['WORKDAY_DB.DBO.T_EXCEPTION_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.T_PREMASTER_PRC', 'WORKDAY_DB.DBO.T_BPS_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_OVERRIDE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_IDENTIFIER', 'WORKDAY_DB.DBO.CLONE_T_SCD_PRC_OUT_STORE_ANLALYSIS_IPP2', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_BCKUPCHG0049304', 'WORKDAY_DB.DBO.T_PREMASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_FULL_SEC_OUT_STORE', 'WORKDAY_DB.DBO.T_BPS_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC', 'WORKDAY_DB.DBO.T_PK_OVERRIDE_SEC', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_MASTER_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_PRC', 'WORKDAY_DB.DBO.T_OVERRIDE_APPROVE_SEC_DERIV_FI', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT_ANLALYSIS_IPP20899', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC', 'WORKDAY_DB.DBO.BCK_T_OVERRIDE_APPROVE_SEC_DERIV_FI_20221201', 'WORKDAY_DB.DBO.T_MASTER_PRC_AUDIT', 'WORKDAY_DB.DBO.T_EXCEPTION_SEC_PRE_IPP']",Zero Price Value
